
---------- Begin Simulation Statistics ----------
simSeconds                                   0.012668                       # Number of seconds simulated (Second)
simTicks                                  12668390500                       # Number of ticks simulated (Tick)
finalTick                                 12668390500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     97.87                       # Real time elapsed on the host (Second)
hostTickRate                                129436417                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2811968                       # Number of bytes of host memory used (Byte)
simInsts                                     18405434                       # Number of instructions simulated (Count)
simOps                                       21482674                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   188053                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     219494                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bigCluster.clk_domain.clock                500                       # Clock period in ticks (Tick)
system.bigCluster.cpus.numCycles             25336782                       # Number of cpu cycles simulated (Cycle)
system.bigCluster.cpus.numWorkItemsStarted            0                       # Number of work items this cpu started (Count)
system.bigCluster.cpus.numWorkItemsCompleted            0                       # Number of work items this cpu completed (Count)
system.bigCluster.cpus.instsAdded            21567790                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.bigCluster.cpus.nonSpecInstsAdded         8197                       # Number of non-speculative instructions added to the IQ (Count)
system.bigCluster.cpus.instsIssued           21541384                       # Number of instructions issued (Count)
system.bigCluster.cpus.squashedInstsIssued         6929                       # Number of squashed instructions issued (Count)
system.bigCluster.cpus.squashedInstsExamined        93326                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.bigCluster.cpus.squashedOperandsExamined        75633                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.bigCluster.cpus.squashedNonSpecRemoved          182                       # Number of squashed non-spec instructions that were removed (Count)
system.bigCluster.cpus.numIssuedDist::samples     25113793                       # Number of insts issued each cycle (Count)
system.bigCluster.cpus.numIssuedDist::mean     0.857751                       # Number of insts issued each cycle (Count)
system.bigCluster.cpus.numIssuedDist::stdev     1.125266                       # Number of insts issued each cycle (Count)
system.bigCluster.l2.ReadReq.missRate::total     0.075851                       # miss rate for ReadReq accesses (Ratio)
system.bigCluster.l2.ReadReq.avgMissLatency::bigCluster.cpus.mmu.dtb_walker 51207.388889                       # average ReadReq miss latency ((Tick/Count))
system.bigCluster.l2.ReadReq.avgMissLatency::bigCluster.cpus.mmu.itb_walker 50191.307692                       # average ReadReq miss latency ((Tick/Count))
system.bigCluster.l2.ReadReq.avgMissLatency::total 50937.816327                       # average ReadReq miss latency ((Tick/Count))
system.bigCluster.l2.ReadReq.mshrMisses::bigCluster.cpus.mmu.dtb_walker           36                       # number of ReadReq MSHR misses (Count)
system.bigCluster.l2.ReadReq.mshrMisses::bigCluster.cpus.mmu.itb_walker           13                       # number of ReadReq MSHR misses (Count)
system.bigCluster.l2.ReadReq.mshrMisses::total           49                       # number of ReadReq MSHR misses (Count)
system.bigCluster.l2.ReadReq.mshrUncacheable::bigCluster.cpus.inst         2482                       # number of ReadReq MSHR uncacheable (Count)
system.bigCluster.l2.ReadReq.mshrUncacheable::bigCluster.cpus.data         1410                       # number of ReadReq MSHR uncacheable (Count)
system.bigCluster.l2.ReadReq.mshrUncacheable::total         3892                       # number of ReadReq MSHR uncacheable (Count)
system.bigCluster.l2.ReadReq.mshrMissLatency::bigCluster.cpus.mmu.dtb_walker      1753466                       # number of ReadReq MSHR miss ticks (Tick)
system.bigCluster.l2.ReadReq.mshrMissLatency::bigCluster.cpus.mmu.itb_walker       619987                       # number of ReadReq MSHR miss ticks (Tick)
system.bigCluster.l2.ReadReq.mshrMissLatency::total      2373453                       # number of ReadReq MSHR miss ticks (Tick)
system.bigCluster.l2.ReadReq.mshrUncacheableLatency::bigCluster.cpus.inst    115690500                       # number of ReadReq MSHR uncacheable ticks (Tick)
system.bigCluster.l2.ReadReq.mshrUncacheableLatency::bigCluster.cpus.data    312689000                       # number of ReadReq MSHR uncacheable ticks (Tick)
system.bigCluster.l2.ReadReq.mshrUncacheableLatency::total    428379500                       # number of ReadReq MSHR uncacheable ticks (Tick)
system.bigCluster.l2.ReadReq.mshrMissRate::bigCluster.cpus.mmu.dtb_walker     0.063380                       # mshr miss rate for ReadReq accesses (Ratio)
system.bigCluster.l2.ReadReq.mshrMissRate::bigCluster.cpus.mmu.itb_walker     0.166667                       # mshr miss rate for ReadReq accesses (Ratio)
system.bigCluster.l2.ReadReq.mshrMissRate::total     0.075851                       # mshr miss rate for ReadReq accesses (Ratio)
system.bigCluster.l2.ReadReq.avgMshrMissLatency::bigCluster.cpus.mmu.dtb_walker 48707.388889                       # average ReadReq mshr miss latency ((Tick/Count))
system.bigCluster.l2.ReadReq.avgMshrMissLatency::bigCluster.cpus.mmu.itb_walker 47691.307692                       # average ReadReq mshr miss latency ((Tick/Count))
system.bigCluster.l2.ReadReq.avgMshrMissLatency::total 48437.816327                       # average ReadReq mshr miss latency ((Tick/Count))
system.bigCluster.l2.ReadReq.avgMshrUncacheableLatency::bigCluster.cpus.inst 46611.804996                       # average ReadReq mshr uncacheable latency ((Tick/Count))
system.bigCluster.l2.ReadReq.avgMshrUncacheableLatency::bigCluster.cpus.data 221765.248227                       # average ReadReq mshr uncacheable latency ((Tick/Count))
system.bigCluster.l2.ReadReq.avgMshrUncacheableLatency::total 110066.675231                       # average ReadReq mshr uncacheable latency ((Tick/Count))
system.bigCluster.l2.ReadSharedReq.hits::bigCluster.cpus.data         1313                       # number of ReadSharedReq hits (Count)
system.bigCluster.l2.ReadSharedReq.hits::total         1313                       # number of ReadSharedReq hits (Count)
system.bigCluster.l2.ReadSharedReq.misses::bigCluster.cpus.data         2380                       # number of ReadSharedReq misses (Count)
system.bigCluster.l2.ReadSharedReq.misses::total         2380                       # number of ReadSharedReq misses (Count)
system.bigCluster.l2.ReadSharedReq.missLatency::bigCluster.cpus.data    121023999                       # number of ReadSharedReq miss ticks (Tick)
system.bigCluster.l2.ReadSharedReq.missLatency::total    121023999                       # number of ReadSharedReq miss ticks (Tick)
system.bigCluster.l2.ReadSharedReq.accesses::bigCluster.cpus.data         3693                       # number of ReadSharedReq accesses(hits+misses) (Count)
system.bigCluster.l2.ReadSharedReq.accesses::total         3693                       # number of ReadSharedReq accesses(hits+misses) (Count)
system.bigCluster.l2.ReadSharedReq.missRate::bigCluster.cpus.data     0.644462                       # miss rate for ReadSharedReq accesses (Ratio)
system.bigCluster.l2.ReadSharedReq.missRate::total     0.644462                       # miss rate for ReadSharedReq accesses (Ratio)
system.bigCluster.l2.ReadSharedReq.avgMissLatency::bigCluster.cpus.data 50850.419748                       # average ReadSharedReq miss latency ((Tick/Count))
system.bigCluster.l2.ReadSharedReq.avgMissLatency::total 50850.419748                       # average ReadSharedReq miss latency ((Tick/Count))
system.bigCluster.l2.ReadSharedReq.mshrHits::bigCluster.cpus.data            1                       # number of ReadSharedReq MSHR hits (Count)
system.bigCluster.l2.ReadSharedReq.mshrHits::total            1                       # number of ReadSharedReq MSHR hits (Count)
system.bigCluster.l2.ReadSharedReq.mshrMisses::bigCluster.cpus.data         2379                       # number of ReadSharedReq MSHR misses (Count)
system.bigCluster.l2.ReadSharedReq.mshrMisses::total         2379                       # number of ReadSharedReq MSHR misses (Count)
system.bigCluster.l2.ReadSharedReq.mshrMissLatency::bigCluster.cpus.data    115030999                       # number of ReadSharedReq MSHR miss ticks (Tick)
system.bigCluster.l2.ReadSharedReq.mshrMissLatency::total    115030999                       # number of ReadSharedReq MSHR miss ticks (Tick)
system.bigCluster.l2.ReadSharedReq.mshrMissRate::bigCluster.cpus.data     0.644192                       # mshr miss rate for ReadSharedReq accesses (Ratio)
system.bigCluster.l2.ReadSharedReq.mshrMissRate::total     0.644192                       # mshr miss rate for ReadSharedReq accesses (Ratio)
system.bigCluster.l2.ReadSharedReq.avgMshrMissLatency::bigCluster.cpus.data 48352.668768                       # average ReadSharedReq mshr miss latency ((Tick/Count))
system.bigCluster.l2.ReadSharedReq.avgMshrMissLatency::total 48352.668768                       # average ReadSharedReq mshr miss latency ((Tick/Count))
system.bigCluster.l2.UpgradeReq.misses::bigCluster.cpus.data          217                       # number of UpgradeReq misses (Count)
system.bigCluster.l2.UpgradeReq.misses::total          217                       # number of UpgradeReq misses (Count)
system.bigCluster.l2.UpgradeReq.missLatency::bigCluster.cpus.data        17000                       # number of UpgradeReq miss ticks (Tick)
system.bigCluster.l2.UpgradeReq.missLatency::total        17000                       # number of UpgradeReq miss ticks (Tick)
system.bigCluster.l2.UpgradeReq.accesses::bigCluster.cpus.data          217                       # number of UpgradeReq accesses(hits+misses) (Count)
system.bigCluster.l2.UpgradeReq.accesses::total          217                       # number of UpgradeReq accesses(hits+misses) (Count)
system.bigCluster.l2.UpgradeReq.missRate::bigCluster.cpus.data            1                       # miss rate for UpgradeReq accesses (Ratio)
system.bigCluster.l2.UpgradeReq.missRate::total            1                       # miss rate for UpgradeReq accesses (Ratio)
system.bigCluster.l2.UpgradeReq.avgMissLatency::bigCluster.cpus.data    78.341014                       # average UpgradeReq miss latency ((Tick/Count))
system.bigCluster.l2.UpgradeReq.avgMissLatency::total    78.341014                       # average UpgradeReq miss latency ((Tick/Count))
system.bigCluster.l2.UpgradeReq.mshrMisses::bigCluster.cpus.data          217                       # number of UpgradeReq MSHR misses (Count)
system.bigCluster.l2.UpgradeReq.mshrMisses::total          217                       # number of UpgradeReq MSHR misses (Count)
system.bigCluster.l2.UpgradeReq.mshrMissLatency::bigCluster.cpus.data      3269499                       # number of UpgradeReq MSHR miss ticks (Tick)
system.bigCluster.l2.UpgradeReq.mshrMissLatency::total      3269499                       # number of UpgradeReq MSHR miss ticks (Tick)
system.bigCluster.l2.UpgradeReq.mshrMissRate::bigCluster.cpus.data            1                       # mshr miss rate for UpgradeReq accesses (Ratio)
system.bigCluster.l2.UpgradeReq.mshrMissRate::total            1                       # mshr miss rate for UpgradeReq accesses (Ratio)
system.bigCluster.l2.UpgradeReq.avgMshrMissLatency::bigCluster.cpus.data 15066.815668                       # average UpgradeReq mshr miss latency ((Tick/Count))
system.bigCluster.l2.UpgradeReq.avgMshrMissLatency::total 15066.815668                       # average UpgradeReq mshr miss latency ((Tick/Count))
system.bigCluster.l2.WriteReq.mshrUncacheable::bigCluster.cpus.data         3792                       # number of WriteReq MSHR uncacheable (Count)
system.bigCluster.l2.WriteReq.mshrUncacheable::total         3792                       # number of WriteReq MSHR uncacheable (Count)
system.bigCluster.l2.WritebackClean.hits::writebacks          321                       # number of WritebackClean hits (Count)
system.bigCluster.l2.WritebackClean.hits::total          321                       # number of WritebackClean hits (Count)
system.bigCluster.l2.WritebackClean.accesses::writebacks          321                       # number of WritebackClean accesses(hits+misses) (Count)
system.bigCluster.l2.WritebackClean.accesses::total          321                       # number of WritebackClean accesses(hits+misses) (Count)
system.bigCluster.l2.WritebackDirty.hits::writebacks       338239                       # number of WritebackDirty hits (Count)
system.bigCluster.l2.WritebackDirty.hits::total       338239                       # number of WritebackDirty hits (Count)
system.bigCluster.l2.WritebackDirty.accesses::writebacks       338239                       # number of WritebackDirty accesses(hits+misses) (Count)
system.bigCluster.l2.WritebackDirty.accesses::total       338239                       # number of WritebackDirty accesses(hits+misses) (Count)
system.bigCluster.l2.power_state.pwrStateResidencyTicks::UNDEFINED  12668390500                       # Cumulative time (in ticks) in various power states (Tick)
system.bigCluster.l2.tags.tagsInUse      15395.714992                       # Average ticks per tags in use ((Tick/Count))
system.bigCluster.l2.tags.totalRefs            340788                       # Total number of references to valid blocks. (Count)
system.bigCluster.l2.tags.sampledRefs          338608                       # Sample count of references to valid blocks. (Count)
system.bigCluster.l2.tags.avgRefs            1.006438                       # Average number of references to valid blocks. ((Count/Count))
system.bigCluster.l2.tags.warmupTick        126885000                       # The tick when the warmup percentage was hit. (Tick)
system.bigCluster.l2.tags.occupancies::writebacks 15393.109489                       # Average occupied blocks per tick, per requestor ((Count/Tick))
system.bigCluster.l2.tags.occupancies::bigCluster.cpus.mmu.dtb_walker     1.848508                       # Average occupied blocks per tick, per requestor ((Count/Tick))
system.bigCluster.l2.tags.occupancies::bigCluster.cpus.mmu.itb_walker     0.756995                       # Average occupied blocks per tick, per requestor ((Count/Tick))
system.bigCluster.l2.tags.avgOccs::writebacks     0.939521                       # Average percentage of cache occupancy ((Ratio/Tick))
system.bigCluster.l2.tags.avgOccs::bigCluster.cpus.mmu.dtb_walker     0.000113                       # Average percentage of cache occupancy ((Ratio/Tick))
system.bigCluster.l2.tags.avgOccs::bigCluster.cpus.mmu.itb_walker     0.000046                       # Average percentage of cache occupancy ((Ratio/Tick))
system.bigCluster.l2.tags.avgOccs::total     0.939680                       # Average percentage of cache occupancy ((Ratio/Tick))
system.bigCluster.l2.tags.occupanciesTaskId::1023            2                       # Occupied blocks per task id (Count)
system.bigCluster.l2.tags.occupanciesTaskId::1024        16380                       # Occupied blocks per task id (Count)
